packet_length,src_port,dst_port,protocol,timestamp
212,55592,1900,17,1741910940.1397078
179,62252,1900,17,1741910940.2667499
86,57621,57621,17,1741910940.4020205
167,46127,1900,17,1741910941.1375937
80,52449,53,17,1741910941.2687461
122,53,52449,17,1741910941.2886002
80,52449,53,17,1741910941.3057792
122,53,52449,17,1741910941.3094678
66,57042,443,6,1741910941.321887
66,443,57042,6,1741910941.3238823
54,57042,443,6,1741910941.3258767
354,57042,443,6,1741910941.3283362
54,443,57042,6,1741910941.3297932
1466,443,57042,6,1741910941.356496
1514,443,57042,6,1741910941.358491
702,443,57042,6,1741910941.3596995
54,57042,443,6,1741910941.3652868
134,57042,443,6,1741910941.3759158
706,443,57042,6,1741910941.3819072
134,57042,443,6,1741910941.4080343
160,57042,443,6,1741910941.4103014
85,57042,443,6,1741910941.4103014
54,443,57042,6,1741910941.4103014
85,443,57042,6,1741910941.4103014
54,57042,443,6,1741910941.4551406
336,65165,21027,17,1741910941.580709
652,443,57042,6,1741910941.6742198
93,443,57042,6,1741910941.6766276
54,57042,443,6,1741910941.6779635
93,57042,443,6,1741910941.6799572
54,57042,443,6,1741910941.6819522
60,443,57042,6,1741910941.68403
54,57042,443,6,1741910941.6852021
78,52449,53,17,1741910941.7264225
185,53,52449,17,1741910941.7387204
78,52449,53,17,1741910941.7427926
185,53,52449,17,1741910941.7461498
66,57043,80,6,1741910941.747377
66,80,57043,6,1741910941.7483988
54,57043,80,6,1741910941.749431
237,57043,80,6,1741910941.7504594
54,80,57043,6,1741910941.751478
522,80,57043,6,1741910941.916623
79,52449,53,17,1741910941.9476073
242,57043,80,6,1741910941.9530158
54,80,57043,6,1741910941.9530158
164,53,52449,17,1741910941.9530158
66,57044,443,6,1741910941.9599845
66,443,57044,6,1741910941.9609892
54,57044,443,6,1741910941.961985
256,57044,443,6,1741910941.9629815
54,443,57044,6,1741910941.9651153
1466,443,57044,6,1741910941.986301
1514,443,57044,6,1741910941.9865193
1514,443,57044,6,1741910941.9865193
498,443,57044,6,1741910941.9865193
54,57044,443,6,1741910941.9865193
147,57044,443,6,1741910941.996893
523,80,57043,6,1741910941.9978964
365,443,57044,6,1741910942.0038812
123,443,57044,6,1741910942.0058796
54,57044,443,6,1741910942.0078697
66,57045,443,6,1741910942.011867
141,57044,443,6,1741910942.013853
152,57044,443,6,1741910942.0148554
92,57044,443,6,1741910942.0158474
296,57044,443,6,1741910942.0186262
54,443,57044,6,1741910942.0198622
54,443,57044,6,1741910942.0198622
66,443,57045,6,1741910942.0198622
54,57045,443,6,1741910942.0198622
352,57045,443,6,1741910942.0198622
54,443,57045,6,1741910942.0198622
92,443,57044,6,1741910942.0198622
54,57043,80,6,1741910942.0452302
54,57044,443,6,1741910942.0600164
1514,443,57045,6,1741910942.1071775
1514,443,57045,6,1741910942.1071775
398,443,57045,6,1741910942.1201587
54,57045,443,6,1741910942.1201587
134,57045,443,6,1741910942.129706
54,443,57045,6,1741910942.1318922
264,57045,443,6,1741910942.1362908
54,443,57045,6,1741910942.1367164
341,443,57045,6,1741910942.1702156
341,443,57045,6,1741910942.1702156
54,57045,443,6,1741910942.1702156
547,443,57045,6,1741910942.1702156
239,57043,80,6,1741910942.2034857
54,80,57043,6,1741910942.2034857
54,57045,443,6,1741910942.2199206
284,443,57044,6,1741910942.236782
100,443,57044,6,1741910942.2430933
54,57044,443,6,1741910942.2441218
100,57044,443,6,1741910942.245305
54,57044,443,6,1741910942.246434
60,443,57044,6,1741910942.2483237
54,57044,443,6,1741910942.2483237
1514,80,57043,6,1741910942.2483237
1514,80,57043,6,1741910942.2519
1514,80,57043,6,1741910942.2535036
1514,80,57043,6,1741910942.2535036
1514,80,57043,6,1741910942.2535036
570,80,57043,6,1741910942.2535036
54,57043,80,6,1741910942.2535036
239,57043,80,6,1741910942.2947354
54,80,57043,6,1741910942.2958186
1514,80,57043,6,1741910942.3870628
